raymundo	843
rayo	1437
raúl	1457
real	208
reapira	1222
reatiga	447
rebeca	687
rebolledo	1828
recalde	472
redondo	215
refugio	1557
reina	1849
reinaldo	2241
reinel	1949
reinoso	855
remigio	1507
rendón	1432
rengifo	1886
rescanevo	888
restrepo	1463
resurrección	1809
retavisca	787
revellón	209
revelo	1425
reyes	2117
reynaldo	1990
riapira	1540
riascos	789
riay	467
riaño	2133
ricardo	2303
ricaurte	2308
richard	1404
rico	1059
rigoberto	2255
rincón	2367
ripe	393
riscanevo	2126
riso	1029
rita	1664
rivadeneira	971
rivas	504
rivera	2279
riveros	1832
rivilla	1219
riátiva	1275
roa	528
robba	155
roberth	1266
roberto	2328
robles	2203
roboán	1069
roca	584
rocha	1380
roche	1857
rocío	982
rodolfo	1714
rodrigo	1673
rodríguez	2488
rodulfo	1801
rogelia	742
rogelio	2162
rogerio	114
rojas	2438
rolando	1051
rolfe	839
romer	85
romero	2181
romualdo	1764
roncancio	1963
ronchanquira	420
ronchaquira	77
ronderos	1842
rondón	1280
rooselvet	831
roosembel	554
ropero	828
roque	1568
rosa	2397
rosabel	261
rosalba	2075
rosalbina	1346
rosana	1498
rosario	1903
rosaura	193
roseli	1339
rosemberg	405
rosendo	350
rosero	265
rosevel	718
rosillo	458
rosmira	50
roso	1035
rosolino	1727
rozo	1791
ruber	1396
rubi	1304
rubiano	2147
rubio	1367
ruby	2014
rubén	2244
rud	698
rudecindo	1733
rueda	1161
rufiniano	988
ruje	1481
